起點,終點,時間(分鐘)
akihabara,meiji_shrine,40
meiji_shrine,akihabara,40
meiji_shrine,senso_ji,35
senso_ji,meiji_shrine,35
senso_ji,tokyo_tower,35
tokyo_tower,senso_ji,35
akihabara,odaiba,30
akihabara,shinjuku_garden,30
akihabara,tokyo_tower,30
meiji_shrine,odaiba,30
meiji_shrine,shinjuku_garden,30
meiji_shrine,tokyo_tower,30
meiji_shrine,tsukiji_market,30
odaiba,akihabara,30
odaiba,meiji_shrine,30
odaiba,senso_ji,30
odaiba,shinjuku_garden,30
odaiba,tokyo_tower,30
odaiba,tsukiji_market,30
senso_ji,odaiba,30
senso_ji,shinjuku_garden,30
senso_ji,tsukiji_market,30
shinjuku_garden,akihabara,30
shinjuku_garden,meiji_shrine,30
shinjuku_garden,odaiba,30
shinjuku_garden,senso_ji,30
shinjuku_garden,tokyo_tower,30
shinjuku_garden,tsukiji_market,30
tokyo_tower,akihabara,30
tokyo_tower,meiji_shrine,30
tokyo_tower,odaiba,30
tokyo_tower,shinjuku_garden,30
tsukiji_market,meiji_shrine,30
tsukiji_market,odaiba,30
tsukiji_market,senso_ji,30
tsukiji_market,shinjuku_garden,30
tokyo_tower,tsukiji_market,25
tsukiji_market,tokyo_tower,25
akihabara,tsukiji_market,20
tsukiji_market,akihabara,20
akihabara,senso_ji,15
senso_ji,akihabara,15
